icao24,callsign,country,timePosition,lastContact,longitude,latitude,baroAltitude,onGround,velocity,heading,verticalRate,_,geoAltitude,transponderCode,spi,positionSource
"a58153","N454DR  ","United States",1682183916,1682183916,-117.2776,33.993,1828.8,false,130.45,280.91,0,null,1866.9,null,false,0
"ab6ea5","AAL719  ","United States",1682183916,1682183916,-71.6611,40.9523,9144,false,237.54,234.52,0.33,null,9334.5,null,false,0
"0d0bce","","Mexico",1682183913,1682183913,-99.0657,19.4415,2164.08,false,98.91,59.7,9.75,null,2255.52,null,false,0
"a41f19","N365CH  ","United States",1682183697,1682183740,-92.3187,35.0156,579.12,false,61.55,16.01,0.65,null,624.84,null,false,0
"a5ca46","N472TW  ","United States",1682183771,1682183771,-85.3244,39.8662,640.08,false,58.7,87.49,-1.63,null,579.12,null,false,0
"aa42aa","ENY9765 ","United States",1682183916,1682183916,-119.1582,35.5527,9144,false,213.73,337.2,0.33,null,9425.94,null,false,0
"a64ae7","N504XP  ","United States",1682183915,1682183915,-111.8814,40.2342,2171.7,false,45.32,63.73,1.63,null,2217.42,null,false,0
"a28302","N261DC  ","United States",1682183708,1682183708,-119.8208,34.4281,83.82,false,58.67,268.49,-2.93,null,76.2,null,false,0
"a03000","AER32   ","United States",1682183916,1682183916,-152.0141,60.3651,6126.48,false,106.44,236.23,-0.65,null,6042.66,"2207",false,0
"a4b151","CKS539  ","United States",1682183914,1682183915,-58.804,-34.7738,1181.1,false,112.44,102.96,-4.55,null,1272.54,null,false,0
"a05669","UAL973  ","United States",1682183915,1682183916,-87.7794,41.9659,739.14,false,79.22,270,-5.2,null,670.56,"1361",false,0
"a6178d","N492AG  ","United States",1682183782,1682183783,-97.4999,30.5526,586.74,false,61.41,98.67,-5.2,null,556.26,null,false,0
"a771af","AAL2322 ","United States",1682183915,1682183915,-104.1015,32.2096,9753.6,false,209.55,262.67,0,null,10043.16,null,false,0
"a4bd7e","SWA635  ","United States",1682183896,1682183896,-115.1472,36.0781,null,true,4.12,222.19,null,null,null,null,false,0
"ab282b","RPA5748 ","United States",1682183916,1682183916,-83.7731,33.1456,3436.62,false,143.13,310.04,-6.18,null,3489.96,null,false,0
"a651c3","N506RT  ","United States",1682183916,1682183916,-71.9907,41.9895,10363.2,false,212.37,215.04,0,null,10553.7,null,false,0
"a82a20","N625PL  ","United States",1682183916,1682183916,-122.3474,37.8121,1524,false,56.08,0.53,-0.33,null,1569.72,"5360",false,0
"151e00","SDM6598 ","Russian Federation",1682182663,1682183780,41.9833,56.896,10363.2,false,203.86,289.3,-0.33,null,10195.56,null,false,0
"a246b4","N246EG  ","United States",1682183916,1682183916,-71.7488,42.3563,1493.52,false,97.56,42.86,0,null,1501.14,"5657",false,0
"a379cd","DAL834  ","United States",1682183916,1682183916,-117.8344,33.7072,5989.32,false,229.34,84.85,2.93,null,6210.3,null,false,0
"495267","RZO174  ","Portugal",1682183915,1682183916,-11.4287,40.6362,11277.6,false,264.6,77.42,0,null,11414.76,null,false,0
"a6a1b4","SCX3053 ","United States",1682183915,1682183915,-119.5761,44.6093,11277.6,false,255.65,112.23,0,null,11353.8,"3533",false,0
"a259e2","N2500M  ","United States",1682183916,1682183916,-89.6614,32.8749,1805.94,false,81.33,303.39,0,null,1783.08,null,false,0
"a18972","N19886  ","United States",1682183916,1682183916,-117.1275,33.9803,1722.12,false,37.85,148.9,0.98,null,1737.36,null,false,0
"aa9e4a","SWA2274 ","United States",1682183916,1682183916,-115.1795,40.1621,11582.4,false,206.68,347.35,0,null,11711.94,null,false,0
"a6ea20","N5447L  ","United States",1682183839,1682183839,-117.2788,33.1285,null,true,12.35,264.38,null,null,null,null,false,0
"a651e1","SKW3096 ","United States",1682183912,1682183914,-112.009,33.431,358.14,false,79.22,90,1.95,null,320.04,null,false,0
"a1631a","N189LE  ","United States",1682183864,1682183864,-119.1649,35.7722,2567.94,false,85.36,333.9,0,null,2621.28,null,false,0
"a4c492","SKW3439 ","United States",1682183800,1682183803,-122.3807,37.6179,null,true,0,258.75,null,null,null,"7726",false,0
"c0475f","ASP875  ","Canada",1682183916,1682183916,-111.4482,50.9258,11742.42,false,226.15,93,5.2,null,11567.16,"1345",false,0
"a83108","JBU2993 ","United States",1682183835,1682183909,-73.7755,40.6467,null,true,0,236.25,null,null,null,"1442",false,0
"a1d947","N218X   ","United States",1682183749,1682183750,-80.4288,41.1633,952.5,false,64.85,181.82,-0.33,null,868.68,null,false,0
"a57a84","LTA52   ","United States",1682183900,1682183915,-85.8818,40.1593,1082.04,false,69.15,43.19,0.33,null,1013.46,null,false,0
"a1d93b","SWA1918 ","United States",1682183915,1682183916,-88.6547,31.9127,11879.58,false,263.68,65.94,0,null,12077.7,null,false,0
"a4c486","N406SL  ","United States",1682183695,1682183695,-86.8917,36.1669,190.5,false,48.42,14.77,-3.9,null,160.02,null,false,0
"a30611","N294TT  ","United States",1682183916,1682183916,-74.0118,39.5961,6705.6,false,98.57,216.51,0,null,6819.9,"3434",false,0
"a4b159","N401LG  ","United States",1682183916,1682183916,-82.6962,30.3896,12496.8,false,221.23,156.71,0,null,12763.5,null,false,0
"4bb2a9","THY9QJ  ","Turkey",1682183915,1682183916,30.7001,36.8288,10668,false,217.85,172.67,0,null,10751.82,null,false,0
"4bb2a5","THY4XT  ","Turkey",1682183916,1682183916,29.7993,40.7331,4503.42,false,190.4,91.39,11.7,null,4541.52,null,false,0
"a42669","N367BC  ","United States",1682183649,1682183650,-106.0698,35.6257,2103.12,false,76.62,346.8,-6.18,null,2110.74,null,false,0
"ab7627","AAL1531 ","United States",1682183916,1682183916,-80.813,35.0779,2827.02,false,138.98,326.78,-3.9,null,2834.64,null,false,0
"440d00","EJU47LB ","Austria",1682183916,1682183916,-5.3962,36.8268,11277.6,false,206.08,218.62,0,null,11536.68,"4064",false,0
"8004d6","AIC532  ","India",1682183915,1682183915,74.9476,26.3795,10058.4,false,238.01,33,0,null,10302.24,null,false,0
"5000b3","MEA267  ","San Marino",1682183598,1682183606,32.4171,37.5001,10972.8,false,219.64,312.06,0,null,11148.06,"5605",false,0
